Numer of labeled samples:25015   AUC:0.965
Numer of labeled samples:24769   AUC:0.964
Numer of labeled samples:23852   AUC:0.966
Numer of labeled samples:24284   AUC:0.972
Numer of labeled samples:24384   AUC:0.973
Numer of labeled samples:23964   AUC:0.971
Numer of labeled samples:23783   AUC:0.971
Numer of labeled samples:24174   AUC:0.974
Numer of labeled samples:24506   AUC:0.972
Numer of labeled samples:24077   AUC:0.971
Numer of labeled samples:24320   AUC:0.976
Numer of labeled samples:24542   AUC:0.975
Numer of labeled samples:24344   AUC:0.976
Numer of labeled samples:24441   AUC:0.976
Numer of labeled samples:24535   AUC:0.978
Numer of labeled samples:24561   AUC:0.974
Numer of labeled samples:24737   AUC:0.976
Numer of labeled samples:24661   AUC:0.975
Numer of labeled samples:24891   AUC:0.980
Numer of labeled samples:24947   AUC:0.980
Numer of labeled samples:25131   AUC:0.982
Numer of labeled samples:25099   AUC:0.981
Numer of labeled samples:25554   AUC:0.982
Numer of labeled samples:25037   AUC:0.983
Numer of labeled samples:25400   AUC:0.983
Numer of labeled samples:25275   AUC:0.983
Numer of labeled samples:25460   AUC:0.981
Numer of labeled samples:25448   AUC:0.983
Numer of labeled samples:25355   AUC:0.984
Numer of labeled samples:25236   AUC:0.982
Numer of labeled samples:25436   AUC:0.984
Numer of labeled samples:25527   AUC:0.984
Numer of labeled samples:25567   AUC:0.984
Numer of labeled samples:25506   AUC:0.986
Numer of labeled samples:25749   AUC:0.988
Numer of labeled samples:25576   AUC:0.988
Numer of labeled samples:25805   AUC:0.987
Numer of labeled samples:25824   AUC:0.988
Numer of labeled samples:25736   AUC:0.986
Numer of labeled samples:25718   AUC:0.987
Numer of labeled samples:25703   AUC:0.985
Numer of labeled samples:25725   AUC:0.986
Numer of labeled samples:25962   AUC:0.988
Numer of labeled samples:25834   AUC:0.988
Numer of labeled samples:25979   AUC:0.989
Numer of labeled samples:25825   AUC:0.988
Numer of labeled samples:26051   AUC:0.987
Numer of labeled samples:25957   AUC:0.989
Numer of labeled samples:25834   AUC:0.987
Numer of labeled samples:25872   AUC:0.988
Numer of labeled samples:26064   AUC:0.990
Numer of labeled samples:26047   AUC:0.989
Numer of labeled samples:26109   AUC:0.990
Numer of labeled samples:26008   AUC:0.988
Numer of labeled samples:26245   AUC:0.991
Numer of labeled samples:26159   AUC:0.990
Numer of labeled samples:26078   AUC:0.990
Numer of labeled samples:26146   AUC:0.990
Numer of labeled samples:26105   AUC:0.989
Numer of labeled samples:26134   AUC:0.990
Numer of labeled samples:26273   AUC:0.990
Numer of labeled samples:26127   AUC:0.989
Numer of labeled samples:26202   AUC:0.988
Numer of labeled samples:26178   AUC:0.989
Numer of labeled samples:26305   AUC:0.989
Numer of labeled samples:26000   AUC:0.989
Numer of labeled samples:26255   AUC:0.988
Numer of labeled samples:26174   AUC:0.987
Numer of labeled samples:26391   AUC:0.991
Numer of labeled samples:26037   AUC:0.990
Numer of labeled samples:26170   AUC:0.991
Numer of labeled samples:26196   AUC:0.990
Numer of labeled samples:26189   AUC:0.990
Numer of labeled samples:26325   AUC:0.992
Numer of labeled samples:26422   AUC:0.991
Numer of labeled samples:26210   AUC:0.990
Numer of labeled samples:26379   AUC:0.991
Numer of labeled samples:26301   AUC:0.991
Numer of labeled samples:26303   AUC:0.991
Numer of labeled samples:26213   AUC:0.991
Numer of labeled samples:26411   AUC:0.990
Numer of labeled samples:26339   AUC:0.990
Numer of labeled samples:26395   AUC:0.990
Numer of labeled samples:26305   AUC:0.991
Numer of labeled samples:26441   AUC:0.989
Numer of labeled samples:26310   AUC:0.990
Numer of labeled samples:26437   AUC:0.991
Numer of labeled samples:26352   AUC:0.990
Numer of labeled samples:26362   AUC:0.991
Numer of labeled samples:26283   AUC:0.989
Numer of labeled samples:26383   AUC:0.989
Numer of labeled samples:26416   AUC:0.992
Numer of labeled samples:26440   AUC:0.990
Numer of labeled samples:26212   AUC:0.990
Numer of labeled samples:26361   AUC:0.990
Numer of labeled samples:26248   AUC:0.989
Numer of labeled samples:26299   AUC:0.989
Numer of labeled samples:26345   AUC:0.990
Numer of labeled samples:26373   AUC:0.991
Numer of labeled samples:26295   AUC:0.991
Numer of labeled samples:26489   AUC:0.989
Numer of labeled samples:26436   AUC:0.990
Numer of labeled samples:26263   AUC:0.989
Numer of labeled samples:26381   AUC:0.989
Numer of labeled samples:26478   AUC:0.991
Numer of labeled samples:26259   AUC:0.989
Numer of labeled samples:26379   AUC:0.990
Numer of labeled samples:26367   AUC:0.990
Numer of labeled samples:26533   AUC:0.990
Numer of labeled samples:26349   AUC:0.991
Numer of labeled samples:26471   AUC:0.991
Numer of labeled samples:26409   AUC:0.990
Numer of labeled samples:26471   AUC:0.990
Numer of labeled samples:26444   AUC:0.990
Numer of labeled samples:26499   AUC:0.990
Numer of labeled samples:26447   AUC:0.990
Numer of labeled samples:26397   AUC:0.990
Numer of labeled samples:26503   AUC:0.991
Numer of labeled samples:26536   AUC:0.989
Numer of labeled samples:26372   AUC:0.990
Numer of labeled samples:26574   AUC:0.989
Numer of labeled samples:26463   AUC:0.991
Numer of labeled samples:26535   AUC:0.991
Numer of labeled samples:26424   AUC:0.990
Numer of labeled samples:26439   AUC:0.992
Numer of labeled samples:26353   AUC:0.989
Numer of labeled samples:26547   AUC:0.990
Numer of labeled samples:26446   AUC:0.990
Numer of labeled samples:26509   AUC:0.990
Numer of labeled samples:26530   AUC:0.990
Numer of labeled samples:26542   AUC:0.988
Numer of labeled samples:26479   AUC:0.989
Numer of labeled samples:26522   AUC:0.990
Numer of labeled samples:26569   AUC:0.989
Numer of labeled samples:26506   AUC:0.991
Numer of labeled samples:26378   AUC:0.988
Numer of labeled samples:26429   AUC:0.991
Numer of labeled samples:26479   AUC:0.988
Numer of labeled samples:26608   AUC:0.988
Numer of labeled samples:26520   AUC:0.989
Numer of labeled samples:26589   AUC:0.989
Numer of labeled samples:26487   AUC:0.989
Numer of labeled samples:26530   AUC:0.991
Numer of labeled samples:26606   AUC:0.991
Numer of labeled samples:26608   AUC:0.991
Numer of labeled samples:26505   AUC:0.989
Numer of labeled samples:26463   AUC:0.989
Numer of labeled samples:26582   AUC:0.990
Numer of labeled samples:26504   AUC:0.989
Numer of labeled samples:26510   AUC:0.989
Numer of labeled samples:26534   AUC:0.990
Numer of labeled samples:26553   AUC:0.991
Numer of labeled samples:26586   AUC:0.990
Numer of labeled samples:26509   AUC:0.989
Numer of labeled samples:26654   AUC:0.989
Numer of labeled samples:26541   AUC:0.989
Numer of labeled samples:26595   AUC:0.990
Numer of labeled samples:26575   AUC:0.990
Numer of labeled samples:26651   AUC:0.990
Numer of labeled samples:26583   AUC:0.990
Numer of labeled samples:26637   AUC:0.989
Numer of labeled samples:26568   AUC:0.989
Numer of labeled samples:26573   AUC:0.989
Numer of labeled samples:26596   AUC:0.989
Numer of labeled samples:26530   AUC:0.991
Numer of labeled samples:26520   AUC:0.989
Numer of labeled samples:26647   AUC:0.990
Numer of labeled samples:26651   AUC:0.990
Numer of labeled samples:26683   AUC:0.991
Numer of labeled samples:26606   AUC:0.990
Numer of labeled samples:26611   AUC:0.988
Numer of labeled samples:26640   AUC:0.990
Numer of labeled samples:26659   AUC:0.989
Numer of labeled samples:26598   AUC:0.989
Numer of labeled samples:26554   AUC:0.989
Numer of labeled samples:26678   AUC:0.990
Numer of labeled samples:26697   AUC:0.990
Numer of labeled samples:26542   AUC:0.990
Numer of labeled samples:26575   AUC:0.991
Numer of labeled samples:26618   AUC:0.990
Numer of labeled samples:26659   AUC:0.990
Numer of labeled samples:26590   AUC:0.990
