Numer of labeled samples:24860   AUC:0.963
Numer of labeled samples:24828   AUC:0.968
Numer of labeled samples:24529   AUC:0.974
Numer of labeled samples:24539   AUC:0.972
Numer of labeled samples:23827   AUC:0.972
Numer of labeled samples:24705   AUC:0.972
Numer of labeled samples:23548   AUC:0.967
Numer of labeled samples:24329   AUC:0.973
Numer of labeled samples:24353   AUC:0.974
Numer of labeled samples:24228   AUC:0.972
Numer of labeled samples:24549   AUC:0.976
Numer of labeled samples:24275   AUC:0.974
Numer of labeled samples:24386   AUC:0.973
Numer of labeled samples:24690   AUC:0.977
Numer of labeled samples:24606   AUC:0.977
Numer of labeled samples:24705   AUC:0.974
Numer of labeled samples:24527   AUC:0.966
Numer of labeled samples:24434   AUC:0.976
Numer of labeled samples:24691   AUC:0.978
Numer of labeled samples:24541   AUC:0.977
Numer of labeled samples:25270   AUC:0.984
Numer of labeled samples:25173   AUC:0.980
Numer of labeled samples:25001   AUC:0.983
Numer of labeled samples:24968   AUC:0.981
Numer of labeled samples:24978   AUC:0.982
Numer of labeled samples:25045   AUC:0.981
Numer of labeled samples:25408   AUC:0.986
Numer of labeled samples:24969   AUC:0.982
Numer of labeled samples:25355   AUC:0.985
Numer of labeled samples:25540   AUC:0.986
Numer of labeled samples:25764   AUC:0.985
Numer of labeled samples:25309   AUC:0.985
Numer of labeled samples:25590   AUC:0.986
Numer of labeled samples:25389   AUC:0.985
Numer of labeled samples:25603   AUC:0.987
Numer of labeled samples:25531   AUC:0.986
Numer of labeled samples:25622   AUC:0.986
Numer of labeled samples:25469   AUC:0.986
Numer of labeled samples:25562   AUC:0.985
Numer of labeled samples:25640   AUC:0.987
Numer of labeled samples:25757   AUC:0.987
Numer of labeled samples:25578   AUC:0.986
Numer of labeled samples:25668   AUC:0.988
Numer of labeled samples:25871   AUC:0.988
Numer of labeled samples:25769   AUC:0.986
Numer of labeled samples:25914   AUC:0.987
Numer of labeled samples:25849   AUC:0.988
Numer of labeled samples:25764   AUC:0.988
Numer of labeled samples:26034   AUC:0.989
Numer of labeled samples:25848   AUC:0.989
Numer of labeled samples:25902   AUC:0.988
Numer of labeled samples:25763   AUC:0.987
Numer of labeled samples:26148   AUC:0.991
Numer of labeled samples:25954   AUC:0.989
Numer of labeled samples:26152   AUC:0.989
Numer of labeled samples:25850   AUC:0.989
Numer of labeled samples:26094   AUC:0.991
Numer of labeled samples:26057   AUC:0.989
Numer of labeled samples:26170   AUC:0.990
Numer of labeled samples:25968   AUC:0.989
Numer of labeled samples:26170   AUC:0.990
Numer of labeled samples:25975   AUC:0.988
Numer of labeled samples:26280   AUC:0.992
Numer of labeled samples:26173   AUC:0.989
Numer of labeled samples:26278   AUC:0.989
Numer of labeled samples:26149   AUC:0.988
Numer of labeled samples:26188   AUC:0.991
Numer of labeled samples:26211   AUC:0.990
