Numer of labeled samples:24249   AUC:0.952
Numer of labeled samples:24435   AUC:0.955
Numer of labeled samples:25327   AUC:0.969
Numer of labeled samples:24883   AUC:0.969
Numer of labeled samples:24234   AUC:0.970
Numer of labeled samples:24358   AUC:0.969
Numer of labeled samples:23752   AUC:0.967
Numer of labeled samples:24243   AUC:0.970
Numer of labeled samples:24329   AUC:0.972
Numer of labeled samples:23592   AUC:0.963
Numer of labeled samples:23813   AUC:0.966
Numer of labeled samples:23858   AUC:0.966
Numer of labeled samples:23935   AUC:0.967
Numer of labeled samples:24353   AUC:0.970
Numer of labeled samples:24186   AUC:0.971
Numer of labeled samples:23730   AUC:0.972
Numer of labeled samples:23984   AUC:0.971
Numer of labeled samples:24345   AUC:0.973
Numer of labeled samples:24434   AUC:0.974
Numer of labeled samples:24271   AUC:0.975
Numer of labeled samples:24459   AUC:0.976
Numer of labeled samples:24444   AUC:0.974
Numer of labeled samples:24506   AUC:0.976
Numer of labeled samples:24438   AUC:0.976
Numer of labeled samples:24772   AUC:0.977
Numer of labeled samples:24466   AUC:0.976
Numer of labeled samples:24764   AUC:0.979
Numer of labeled samples:24674   AUC:0.978
Numer of labeled samples:24787   AUC:0.979
Numer of labeled samples:24120   AUC:0.977
Numer of labeled samples:24590   AUC:0.975
Numer of labeled samples:24720   AUC:0.980
Numer of labeled samples:24821   AUC:0.979
Numer of labeled samples:24857   AUC:0.976
Numer of labeled samples:24668   AUC:0.980
Numer of labeled samples:24963   AUC:0.978
Numer of labeled samples:25064   AUC:0.975
Numer of labeled samples:24732   AUC:0.979
Numer of labeled samples:24895   AUC:0.982
Numer of labeled samples:25128   AUC:0.979
Numer of labeled samples:24990   AUC:0.982
Numer of labeled samples:24996   AUC:0.981
Numer of labeled samples:25156   AUC:0.984
Numer of labeled samples:25157   AUC:0.983
Numer of labeled samples:25264   AUC:0.984
Numer of labeled samples:25140   AUC:0.983
Numer of labeled samples:25185   AUC:0.983
Numer of labeled samples:25492   AUC:0.983
