Numer of labeled samples:24778   AUC:0.966
Numer of labeled samples:24715   AUC:0.962
Numer of labeled samples:25507   AUC:0.977
Numer of labeled samples:25505   AUC:0.974
Numer of labeled samples:25253   AUC:0.971
Numer of labeled samples:25747   AUC:0.978
Numer of labeled samples:24886   AUC:0.976
Numer of labeled samples:25474   AUC:0.976
Numer of labeled samples:24702   AUC:0.978
Numer of labeled samples:24612   AUC:0.971
Numer of labeled samples:24409   AUC:0.977
Numer of labeled samples:24701   AUC:0.980
Numer of labeled samples:24689   AUC:0.979
Numer of labeled samples:24413   AUC:0.975
Numer of labeled samples:24182   AUC:0.976
Numer of labeled samples:24290   AUC:0.980
Numer of labeled samples:24208   AUC:0.978
Numer of labeled samples:24307   AUC:0.979
Numer of labeled samples:24403   AUC:0.980
Numer of labeled samples:24157   AUC:0.980
Numer of labeled samples:24388   AUC:0.980
Numer of labeled samples:24490   AUC:0.983
Numer of labeled samples:24627   AUC:0.981
Numer of labeled samples:24430   AUC:0.976
Numer of labeled samples:24556   AUC:0.980
Numer of labeled samples:24636   AUC:0.982
Numer of labeled samples:24684   AUC:0.979
Numer of labeled samples:24608   AUC:0.981
Numer of labeled samples:24758   AUC:0.983
Numer of labeled samples:24479   AUC:0.980
Numer of labeled samples:24753   AUC:0.979
Numer of labeled samples:24706   AUC:0.982
Numer of labeled samples:24567   AUC:0.980
Numer of labeled samples:24668   AUC:0.980
Numer of labeled samples:24926   AUC:0.982
Numer of labeled samples:24968   AUC:0.980
Numer of labeled samples:24950   AUC:0.985
Numer of labeled samples:25012   AUC:0.983
Numer of labeled samples:25033   AUC:0.983
Numer of labeled samples:24997   AUC:0.983
Numer of labeled samples:25202   AUC:0.984
Numer of labeled samples:23886   AUC:0.972
Numer of labeled samples:25321   AUC:0.984
Numer of labeled samples:25153   AUC:0.984
Numer of labeled samples:25281   AUC:0.982
Numer of labeled samples:25097   AUC:0.983
Numer of labeled samples:25151   AUC:0.983
Numer of labeled samples:25006   AUC:0.981
Numer of labeled samples:25132   AUC:0.983
Numer of labeled samples:25087   AUC:0.986
Numer of labeled samples:25240   AUC:0.983
Numer of labeled samples:25089   AUC:0.985
Numer of labeled samples:24942   AUC:0.984
Numer of labeled samples:25357   AUC:0.985
Numer of labeled samples:25250   AUC:0.983
Numer of labeled samples:25343   AUC:0.986
Numer of labeled samples:25559   AUC:0.984
Numer of labeled samples:25459   AUC:0.985
Numer of labeled samples:25392   AUC:0.984
Numer of labeled samples:25217   AUC:0.983
Numer of labeled samples:25344   AUC:0.984
Numer of labeled samples:25376   AUC:0.985
Numer of labeled samples:25547   AUC:0.985
Numer of labeled samples:25427   AUC:0.985
Numer of labeled samples:25606   AUC:0.987
Numer of labeled samples:25395   AUC:0.985
Numer of labeled samples:25545   AUC:0.984
Numer of labeled samples:25432   AUC:0.984
Numer of labeled samples:25549   AUC:0.984
Numer of labeled samples:25628   AUC:0.985
Numer of labeled samples:25772   AUC:0.986
Numer of labeled samples:25281   AUC:0.980
Numer of labeled samples:25728   AUC:0.984
Numer of labeled samples:25628   AUC:0.986
Numer of labeled samples:25714   AUC:0.987
Numer of labeled samples:25693   AUC:0.985
Numer of labeled samples:25697   AUC:0.985
Numer of labeled samples:25666   AUC:0.987
Numer of labeled samples:25593   AUC:0.982
Numer of labeled samples:25585   AUC:0.985
Numer of labeled samples:25776   AUC:0.985
Numer of labeled samples:25574   AUC:0.984
Numer of labeled samples:25667   AUC:0.986
Numer of labeled samples:25763   AUC:0.985
Numer of labeled samples:25806   AUC:0.985
Numer of labeled samples:25821   AUC:0.987
Numer of labeled samples:25800   AUC:0.987
Numer of labeled samples:25658   AUC:0.983
Numer of labeled samples:25720   AUC:0.986
Numer of labeled samples:25702   AUC:0.986
Numer of labeled samples:25706   AUC:0.986
Numer of labeled samples:25784   AUC:0.986
Numer of labeled samples:25843   AUC:0.986
Numer of labeled samples:25786   AUC:0.986
Numer of labeled samples:25959   AUC:0.987
Numer of labeled samples:25856   AUC:0.988
Numer of labeled samples:26042   AUC:0.987
Numer of labeled samples:25663   AUC:0.984
Numer of labeled samples:25963   AUC:0.987
Numer of labeled samples:25909   AUC:0.986
Numer of labeled samples:26019   AUC:0.987
Numer of labeled samples:25952   AUC:0.987
Numer of labeled samples:25956   AUC:0.988
Numer of labeled samples:25996   AUC:0.986
Numer of labeled samples:26047   AUC:0.987
Numer of labeled samples:25891   AUC:0.988
Numer of labeled samples:26031   AUC:0.987
Numer of labeled samples:25973   AUC:0.987
Numer of labeled samples:26019   AUC:0.986
Numer of labeled samples:25936   AUC:0.986
Numer of labeled samples:25945   AUC:0.986
Numer of labeled samples:25946   AUC:0.987
Numer of labeled samples:25968   AUC:0.985
Numer of labeled samples:25965   AUC:0.987
Numer of labeled samples:26006   AUC:0.986
Numer of labeled samples:25883   AUC:0.987
Numer of labeled samples:25963   AUC:0.988
Numer of labeled samples:25826   AUC:0.982
Numer of labeled samples:25985   AUC:0.985
Numer of labeled samples:26019   AUC:0.987
Numer of labeled samples:26152   AUC:0.987
Numer of labeled samples:26031   AUC:0.985
Numer of labeled samples:26089   AUC:0.986
Numer of labeled samples:26003   AUC:0.986
Numer of labeled samples:26159   AUC:0.986
Numer of labeled samples:25956   AUC:0.986
Numer of labeled samples:25953   AUC:0.984
Numer of labeled samples:25987   AUC:0.986
Numer of labeled samples:26111   AUC:0.983
Numer of labeled samples:26044   AUC:0.987
Numer of labeled samples:26086   AUC:0.987
Numer of labeled samples:26052   AUC:0.986
Numer of labeled samples:25947   AUC:0.986
Numer of labeled samples:26073   AUC:0.988
Numer of labeled samples:26077   AUC:0.985
Numer of labeled samples:26096   AUC:0.987
Numer of labeled samples:26209   AUC:0.984
Numer of labeled samples:25970   AUC:0.986
Numer of labeled samples:26297   AUC:0.987
Numer of labeled samples:26204   AUC:0.988
Numer of labeled samples:26119   AUC:0.987
Numer of labeled samples:26083   AUC:0.987
Numer of labeled samples:26183   AUC:0.987
Numer of labeled samples:25949   AUC:0.984
Numer of labeled samples:25921   AUC:0.985
Numer of labeled samples:25998   AUC:0.983
Numer of labeled samples:26142   AUC:0.986
Numer of labeled samples:26044   AUC:0.986
Numer of labeled samples:26066   AUC:0.985
Numer of labeled samples:26102   AUC:0.986
Numer of labeled samples:26232   AUC:0.988
Numer of labeled samples:26111   AUC:0.985
Numer of labeled samples:26232   AUC:0.985
Numer of labeled samples:26219   AUC:0.986
Numer of labeled samples:26261   AUC:0.987
Numer of labeled samples:26287   AUC:0.987
Numer of labeled samples:26065   AUC:0.986
Numer of labeled samples:26108   AUC:0.985
Numer of labeled samples:26171   AUC:0.986
Numer of labeled samples:26208   AUC:0.984
Numer of labeled samples:26233   AUC:0.986
Numer of labeled samples:26224   AUC:0.986
Numer of labeled samples:26153   AUC:0.986
Numer of labeled samples:26332   AUC:0.987
Numer of labeled samples:26286   AUC:0.984
Numer of labeled samples:26156   AUC:0.986
Numer of labeled samples:26222   AUC:0.984
Numer of labeled samples:26151   AUC:0.985
Numer of labeled samples:26346   AUC:0.985
Numer of labeled samples:26221   AUC:0.986
Numer of labeled samples:26170   AUC:0.986
Numer of labeled samples:25995   AUC:0.986
Numer of labeled samples:26277   AUC:0.985
Numer of labeled samples:26245   AUC:0.987
Numer of labeled samples:26197   AUC:0.984
Numer of labeled samples:26163   AUC:0.986
Numer of labeled samples:26294   AUC:0.987
Numer of labeled samples:26175   AUC:0.987
Numer of labeled samples:26266   AUC:0.984
Numer of labeled samples:26228   AUC:0.986
Numer of labeled samples:26126   AUC:0.984
Numer of labeled samples:26214   AUC:0.984
Numer of labeled samples:26181   AUC:0.986
Numer of labeled samples:25950   AUC:0.986
Numer of labeled samples:26327   AUC:0.987
Numer of labeled samples:26252   AUC:0.988
Numer of labeled samples:26221   AUC:0.986
Numer of labeled samples:26167   AUC:0.984
Numer of labeled samples:26245   AUC:0.985
Numer of labeled samples:26093   AUC:0.987
Numer of labeled samples:26177   AUC:0.983
Numer of labeled samples:26121   AUC:0.985
Numer of labeled samples:26293   AUC:0.986
Numer of labeled samples:25923   AUC:0.984
Numer of labeled samples:26143   AUC:0.987
Numer of labeled samples:26262   AUC:0.988
