Numer of labeled samples:11368   AUC:0.767
Numer of labeled samples:22951   AUC:0.799
Numer of labeled samples:21199   AUC:0.830
Numer of labeled samples:17672   AUC:0.829
Numer of labeled samples:24494   AUC:0.840
Numer of labeled samples:24086   AUC:0.844
Numer of labeled samples:26575   AUC:0.843
Numer of labeled samples:25428   AUC:0.847
Numer of labeled samples:28520   AUC:0.848
Numer of labeled samples:27288   AUC:0.849
Numer of labeled samples:30239   AUC:0.852
Numer of labeled samples:30103   AUC:0.847
Numer of labeled samples:31996   AUC:0.852
Numer of labeled samples:31282   AUC:0.855
Numer of labeled samples:33245   AUC:0.855
Numer of labeled samples:32673   AUC:0.855
Numer of labeled samples:34766   AUC:0.859
Numer of labeled samples:33964   AUC:0.860
Numer of labeled samples:35826   AUC:0.863
Numer of labeled samples:35105   AUC:0.864
Numer of labeled samples:36860   AUC:0.865
Numer of labeled samples:36621   AUC:0.867
Numer of labeled samples:37875   AUC:0.867
Numer of labeled samples:38096   AUC:0.869
Numer of labeled samples:38892   AUC:0.872
Numer of labeled samples:39199   AUC:0.869
Numer of labeled samples:39976   AUC:0.876
Numer of labeled samples:40409   AUC:0.872
Numer of labeled samples:40830   AUC:0.876
Numer of labeled samples:41212   AUC:0.874
Numer of labeled samples:41667   AUC:0.878
Numer of labeled samples:41726   AUC:0.877
Numer of labeled samples:42267   AUC:0.877
Numer of labeled samples:41951   AUC:0.880
Numer of labeled samples:42607   AUC:0.879
Numer of labeled samples:42328   AUC:0.878
Numer of labeled samples:43794   AUC:0.876
Numer of labeled samples:42715   AUC:0.876
Numer of labeled samples:43777   AUC:0.874
Numer of labeled samples:43527   AUC:0.873
Numer of labeled samples:44199   AUC:0.872
Numer of labeled samples:44015   AUC:0.866
Numer of labeled samples:44742   AUC:0.866
Numer of labeled samples:45015   AUC:0.859
Numer of labeled samples:45361   AUC:0.855
Numer of labeled samples:45423   AUC:0.838
Numer of labeled samples:45930   AUC:0.809
Numer of labeled samples:2953   AUC:0.858
Numer of labeled samples:44368   AUC:0.851
Numer of labeled samples:46164   AUC:0.749
Numer of labeled samples:44573   AUC:0.846
Numer of labeled samples:3008   AUC:0.852
Numer of labeled samples:4385   AUC:0.837
Numer of labeled samples:2979   AUC:0.848
Numer of labeled samples:31649   AUC:0.829
Numer of labeled samples:41649   AUC:0.841
Numer of labeled samples:27783   AUC:0.827
Numer of labeled samples:38891   AUC:0.839
Numer of labeled samples:40480   AUC:0.833
Numer of labeled samples:37422   AUC:0.844
Numer of labeled samples:39851   AUC:0.835
Numer of labeled samples:38801   AUC:0.846
Numer of labeled samples:42008   AUC:0.847
Numer of labeled samples:38769   AUC:0.850
Numer of labeled samples:43532   AUC:0.860
