Numer of labeled samples:16163   AUC:0.779
Numer of labeled samples:24851   AUC:0.803
Numer of labeled samples:29211   AUC:0.837
Numer of labeled samples:20406   AUC:0.840
Numer of labeled samples:27014   AUC:0.852
Numer of labeled samples:25788   AUC:0.848
Numer of labeled samples:28703   AUC:0.854
Numer of labeled samples:28341   AUC:0.854
Numer of labeled samples:29826   AUC:0.857
Numer of labeled samples:30594   AUC:0.857
Numer of labeled samples:31628   AUC:0.859
Numer of labeled samples:32512   AUC:0.852
Numer of labeled samples:33213   AUC:0.857
Numer of labeled samples:34246   AUC:0.857
Numer of labeled samples:34699   AUC:0.858
Numer of labeled samples:34363   AUC:0.857
Numer of labeled samples:35883   AUC:0.862
Numer of labeled samples:35286   AUC:0.856
Numer of labeled samples:36625   AUC:0.864
Numer of labeled samples:36267   AUC:0.860
Numer of labeled samples:37421   AUC:0.866
Numer of labeled samples:37357   AUC:0.865
Numer of labeled samples:38030   AUC:0.870
Numer of labeled samples:38280   AUC:0.867
Numer of labeled samples:39191   AUC:0.874
Numer of labeled samples:38924   AUC:0.871
Numer of labeled samples:40174   AUC:0.878
Numer of labeled samples:39692   AUC:0.875
Numer of labeled samples:40963   AUC:0.881
Numer of labeled samples:40580   AUC:0.879
Numer of labeled samples:41863   AUC:0.884
Numer of labeled samples:41162   AUC:0.882
Numer of labeled samples:41889   AUC:0.889
Numer of labeled samples:41647   AUC:0.887
Numer of labeled samples:42125   AUC:0.889
Numer of labeled samples:42280   AUC:0.889
Numer of labeled samples:42449   AUC:0.891
Numer of labeled samples:42642   AUC:0.890
Numer of labeled samples:42567   AUC:0.892
Numer of labeled samples:43618   AUC:0.885
Numer of labeled samples:43535   AUC:0.890
Numer of labeled samples:44509   AUC:0.868
Numer of labeled samples:44193   AUC:0.887
Numer of labeled samples:44444   AUC:0.880
Numer of labeled samples:44249   AUC:0.888
Numer of labeled samples:45108   AUC:0.874
Numer of labeled samples:44766   AUC:0.880
Numer of labeled samples:44768   AUC:0.883
Numer of labeled samples:45322   AUC:0.884
Numer of labeled samples:45385   AUC:0.875
Numer of labeled samples:45641   AUC:0.867
Numer of labeled samples:44854   AUC:0.883
Numer of labeled samples:45938   AUC:0.752
Numer of labeled samples:3236   AUC:0.884
Numer of labeled samples:42072   AUC:0.885
